LINEUP,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
".G. Temple, .T. Johnson, .C. LeVert, .T. Luwawu-Cabarrot, .J. Allen",BKN,4,42,104.4,123.7,-19.3,73.3,1.57,17.5,24.5,73.8,46.3,0.2,47.6,52.8,104.98,37.5
".G. Temple, .J. Harris, .C. LeVert, .T. Luwawu-Cabarrot, .J. Allen",BKN,2,39,125.3,93.5,31.8,67.6,2.56,18.9,43.5,87.2,63.5,0.1,53.3,57.2,96.79,70.6
".K. Walker, .M. Smart, .J. Brown, .J. Tatum, .D. Theis",BOS,17,253,106.9,103.4,3.5,61.5,1.71,17.5,25,74.8,51.7,0.1,51.4,55.6,94.93,52.6
".K. Walker, .M. Smart, .J. Brown, .J. Tatum, .G. Williams",BOS,9,27,94.7,89.1,5.6,55.6,1.11,13.3,30.8,70.4,50.9,0.2,47.6,53.7,100.29,61.4
".E. Kanter, .K. Walker, .M. Smart, .J. Brown, .J. Tatum",BOS,8,25,140.8,108.2,32.7,50,1.71,17.9,35.3,69.2,55.8,0.1,70,73.3,95.73,62.8
".G. Hayward, .K. Walker, .J. Brown, .J. Tatum, .D. Theis",BOS,5,25,131.5,101.9,29.6,66.7,5,24.7,30.4,72.7,51.1,0.1,65.4,66,102.73,61.8
".K. Walker, .M. Smart, .J. Brown, .J. Tatum, .R. Williams III",BOS,7,25,103.6,103.9,-0.3,59.1,2.17,17.8,19.2,80,49,0.1,54.3,55.9,103.34,57.3
".T. Hardaway Jr., .T. Burke, .D. Finney-Smith, .M. Kleber, .L. Doncic",DAL,4,49,106.9,121.4,-14.4,61,1.92,18.7,15.7,78.7,45.9,0.1,55.6,56.5,100.88,41.3
".T. Hardaway Jr., .K. Porzingis, .D. Finney-Smith, .M. Kleber, .L. Doncic",DAL,3,33,100,91.9,8.1,46.4,1.3,14.1,21.6,77.8,52.4,0.1,50,52.2,104.46,56.2
".P. Millsap, .G. Harris, .J. Grant, .N. Jokic, .J. Murray",DEN,13,212,109,103.4,5.7,65.9,1.48,18.9,24.3,70.3,49.3,0.2,56.2,59.8,94.48,55.5
